CUI,mention
C0564823,Right LE pain
C0030193,Pain
C0018681,Headache
C0204688,Temperature
C0030049,OXYCODONE
C0030193,Pain
CUI-less,RR
C0030193,Pain
C0262580,NKA
C0564823,R leg pain
C0564823,Right LE pain
C0011849,DM
C0554740,Pelvis XR
C0033213,this problem
C1261311,a steroid injection
C0030193,the pain
C0028643,numbness
C3714552,weakness
C0015967,fever
C0027497,nausea
C0042963,vomiting
C0011991,diarrhea
C0008031,chest pain
C0030193,the pain
C0042024,urinary incontinence
C0278008,any changes in bowel habits
C0011860,Non-insulin-requiring diabetes mellitus
C0020443,hypercholesterolemia
C0025598,Metformin
C0678181,Zocor
C0002771,analgesics
C0030193,pain
C0277797,afebrile
C0523807,The oxygen saturation
C0018674,head trauma
C0240962,scleral icterus
C0497156,lymphadenopathy
C0018808,murmurs
C0232267,rubs
C0232200,gallops
C0520960,nontender
C1265602,masses
C4075263,organomegaly
C0010520,cyanosis
C0149651,clubbing
C0013604,edema
C0577305,lesions
C0015230,rashes
C0027853,Neurologic examination
C0422926,Straight leg raise test
C0030193,pain
C1446409,positive
C0204480,Psychiatric examination
C0575447,lumbar tenderness
C1562820,point tenderness
C0177803,An MRI of the spine
CUI-less,Thad lesion
C0745283,an infectious process
C0277797,afebrile
C1176468,ESR
C0201657,CPR
C0030193,painful
C1135276,supplemental oxygen
C3494658,pneumoboots
C0728963,lovenox
C2585945,DVT prophylaxis
C1443473,her chronic pain management
C0027409,narcotics
C0015967,fevers
C0042963,vomiting
C0038999,swelling
C0012621,discharge
C3543005,your incision
C0000970,ACETAMINOPHEN
C0699142,TYLENOL
C0282139,COLACE
C0243237,DOCUSATE SODIUM
C0235195,sedation
C0442802,excesive
C0728797,FLEXERIL
C0125988,CYCLOBENZAPRINE HCL
C0177803,Spien MRI
C0949766,PT
C2959422,hip Xray
C0205090,R
C0024031,low back pain
C0205082,severe
C0024031,low back pain
C0332271,worsening
C0230415,right leg
C4509826,shock like intensity
C0002771,analgesics
C2316867,oral
C0489633,review of systems
C0205197,detailed
C2364135,uncomfortable
CUI-less,somewhat
C0031809,Examination
C1995000,back
C4281768,L4/5 facet
C0443285,enhancement
C0222679,facet
C0020564,hypertrophy
C0205250,elevated
C2945599,mildly
C0030797,pelvis
C0442212,AP
C0043303,films
C0524470,R hip
C0230415,RLE
C0031809,Physical examination
C0278138,mild pain
C0524470,right hip
C0013216,medications
C0442519,home
C0699203,motrin
C0593507,advil
C0332575,redness
C0205217,increased
C0001339,ACUTE PANCREATITIS
C0001339,ACUTE PANCREATITIS
C0017168,GASTROESOPHAGEAL REFLUX DISEASE
C0017168,GERD
C0000737,abdominal pain
C0151594,blood-streaked diarrhea
C0027497,nausea
C0042963,vomiting
C0015967,fevers
C0085593,chills
C1961006,recent weight loss
C0220870,light-headedness
C0012833,dizziness
C0042023,increased urinary frequent
C0445115,normal saline
C0026549,morphine
C0030193,pain
C0583980,further management
C0017168,GERD
C0032285,Pneumonia
C0700777,Prilosec
C0017168,GERD
C0030920,PUD
C0204688,Temp
C0034107,heart rate
C0005824,BP
C1443397,respiratory rate
C0523807,O2 sat
C0497156,lymphadenopathy
C1167958,JVD
C0018808,murmurs
C0232267,rubs
C0232200,gallops
C0577599,non-distended
C0234234,Tender
C0038002,splenomegaly
C0019214,hepatosplenomegaly
C0149651,clubbing
C0010520,cyanosis
C0013604,edema
C1287940,Deep tendon reflexes
C0030193,pain
C0423553,light touch
C0438930,Chem-7
C0337443,Na
C0202194,K
C0201952,Cl
C0202059,bicarb
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0023901,Liver function tests
C0201836,an ALT
C0201899,AST
C0201850,alk phos
C0201913,T. bili
C0201916,D. bili
C0201883,amylase
C0373670,lipase
C0555903,T. protein
C0201838,albumin
C0877347,globulin
C0201925,Ca
C0009555,CBC
C0023508,White blood cell count
C0587341,hemoglobin
C0018935,hematocrit
C0032181,platelets
C0011923,Imaging studies
C0412620,Abdominal CT scan
CUI-less,Study
CUI-less,associated mesenteric stranding
C0000833,abscess
C0333161,pseudocyst
C0747635,Bilateral pleural effusion
C0203464,Abdominal ultrasound
CUI-less,This study
C0282074,gallbladder sludge
C0008350,cholelithiasis
C0032227,pleural effusion
C0202793,Chest ( PA and lateral )
C0332448,infiltrates
C0702116,consolidation
C0001339,acute pancreatitis
C0419179,NPO
C0522792,IV fluids
C1304888,Pain control
C0026549,morphine
C0935966,Demerol
C0232493,his epigastric pain
C0002771,His pain medication
C0159028,his symptoms
C0232493,the patient &apos;s epigastric pain
C0030286,a pancreatic complication
C0027540,necrosis
C0000833,abscess
C0040405,a CT scan
C0585008,biliary dilatation
CUI-less,stranding along the pancreas
C0027540,necrosis
C0000833,abscess
C0333161,pseudocyst
C0015967,fevers
C0039985,A chest x-ray
C0332448,infiltrate
C0013687,effusion
C0007554,cefotaxime
C1299622,empiric antibiotic treatment
C0041618,An ultrasound
C0008370,cholestasis
C0008311,cholangitis
C0041618,The ultrasound
C0282074,biliary sludge
CUI-less,other abnormalities
C0232493,epigastric pain
C0030193,The pain
C0332448,infiltrate
C0015967,the patient &apos;s fever
C0000737,his abdominal pain
C0007554,The cefotaxime
C0009450,infection
C0159028,his symptoms
C0700777,Prilosec
C0086787,Percocet
C0301532,MVI
C0423641,left flank pain
C1444775,sharp
C0085606,urinary
C0085606,urgency
C0004144,collapsed lung
C0728938,partially
C0262581,No known drug allergies
C2364135,discomfort
C2945599,mild
C0225704,Bibasilar
C0030247,palpation
C0230180,left lower quadrant
C0205091,left
C1562820,Point tenderness
C0524467,costovertebral angle
C0030274,pancreas
C0205402,prominent
C0700321,small
C0008350,gallstone
C0264499,compression atelectasis
